CDTS,EID,START_DATE,CALL_NUMBER,PRIORITY,REPORT_DATE,OFFENSE_DATE,OFFENSE_TIME,CALLTYPE_CODE,CALL_TYPE,FINAL_DISPO_CODE,FINAL_DISPO,ADDRESS,CITY,STATE
20240315092336PD,9936922,3/15/2024 12:00:00 AM,P240750136,3,3/15/2024 12:00:00 AM,3/15/2024 12:00:00 AM,07:35:00,10852,TAMPERING WITH A VEHICLE,R,Report taken,[5500]-[5600] SPINNAKER DR ,San Jose,CA
20240315134051PD,9937299,3/15/2024 12:00:00 AM,P240750434,6,3/15/2024 12:00:00 AM,3/15/2024 12:00:00 AM,13:26:50,1195,VEHICLE STOP,D,"Traffic Citation Issued, Hazardous Violation",BRANHAM LN & MERIDIAN AV,San Jose,CA
20241024233026PD,10222447,10/24/2024 12:00:00 AM,P242980951,2,10/24/2024 12:00:00 AM,10/24/2024 12:00:00 AM,23:19:07,415,DISTURBANCE,N,No report required; dispatch record only,[1700]-[1800] AIRPORT BL ,San Jose,CA
20240531195114PD,10034044,5/31/2024 12:00:00 AM,P241520776,2,5/31/2024 12:00:00 AM,5/31/2024 12:00:00 AM,19:32:39,WELCKEMS,WELFARE CHECK (COMBINED EVENT),GD,No Disposition,[1100]-[1200] MCLAUGHLIN AV ,San Jose,CA
20240202235915PS,9884319,6/12/2024 12:00:00 AM,P240330968,3,2/2/2024 12:00:00 AM,2/2/2024 12:00:00 AM,23:17:03,23103,RECKLESS DRIVING,N,No report required; dispatch record only,BLOSSOM HILL RD & SILVER CREEK VALLEY RD,San Jose,CA
20240405223008PD,9964205,4/5/2024 12:00:00 AM,P240960806,3,4/5/2024 12:00:00 AM,4/5/2024 12:00:00 AM,21:37:51,1066,SUSPICIOUS PERSON,CAN,Canceled,[3900]-[4000] BUCKNALL RD ,San Jose,CA
20240619025206PD,10057531,6/19/2024 12:00:00 AM,P241710064,3,6/19/2024 12:00:00 AM,6/19/2024 12:00:00 AM,02:31:44,1033A,"ALARM, AUDIBLE",CAN,Canceled,[2200]-[2300] MONTEREY RD ,San Jose,CA
20240827070507PD,10146970,8/27/2024 12:00:00 AM,P242400173,4,8/27/2024 12:00:00 AM,8/27/2024 12:00:00 AM,07:02:09,22500,PARKING VIOLATION,CAN,Canceled,[700]-[800] VINE ST ,San Jose,CA
20240305122433PS,9924277,3/5/2024 12:00:00 AM,P240650291,3,3/5/2024 12:00:00 AM,3/5/2024 12:00:00 AM,09:50:59,10851,STOLEN VEHICLE,R,Report taken,[6800]-[6900] AVENIDA ROTELLA ,San Jose,CA
20240128100538PS,9877349,6/12/2024 12:00:00 AM,P240280277,4,1/28/2024 12:00:00 AM,1/28/2024 12:00:00 AM,9:29:25,415,DISTURBANCE,CAN,Canceled,STORY RD & MCGINNESS AV,San Jose,CA
20240418094711PD,9979053,4/18/2024 12:00:00 AM,P241090231,5,4/18/2024 12:00:00 AM,4/18/2024 12:00:00 AM,08:23:16,22500,PARKING VIOLATION,R,Report taken,[2700]-[2800] TANGLEWOOD DR ,San Jose,CA
20240325150244PD,9950397,3/25/2024 12:00:00 AM,P240850569,2,3/25/2024 12:00:00 AM,3/25/2024 12:00:00 AM,14:40:22,415J,"DISTURBANCE, JUVENILE",N,No report required; dispatch record only,DARBY CT & POMONA AV,San Jose,CA
20240122053154PS,9869699,1/22/2024 12:00:00 AM,P240220112,3,1/22/2024 12:00:00 AM,1/22/2024 12:00:00 AM,04:53:26,1033A,"ALARM, AUDIBLE",N,No report required; dispatch record only,[5600]-[5700] SILVER CREEK VALLEY RD ,San Jose,CA
20240329230231PD,9955748,3/29/2024 12:00:00 AM,P240890844,2,3/29/2024 12:00:00 AM,3/29/2024 12:00:00 AM,22:20:31,415,DISTURBANCE,N,No report required; dispatch record only,[1500]-[1600] BRANHAM LN ,San Jose,CA
20240202135511PS,9883604,6/12/2024 12:00:00 AM,P240330395,5,2/2/2024 12:00:00 AM,2/2/2024 12:00:00 AM,12:46:54,FNDPRP,FOUND PROPERTY,R,Report taken,[600]-[700] KINGS ROW ,San Jose,CA
20240226203518PS,9915134,2/27/2024 12:00:00 AM,P240570870,4,2/26/2024 12:00:00 AM,2/26/2024 12:00:00 AM,20:12:42,415FC,"DISTURBANCE, FIRECRACKERS",CAN,Canceled,[200]-[300] MARTINVALE LN ,San Jose,CA
20240321211305PD,9945757,3/21/2024 12:00:00 AM,P240810955,2,3/21/2024 12:00:00 AM,3/21/2024 12:00:00 AM,20:31:07,415,DISTURBANCE,G,Gone on Arrival/unable to locate,[10300]-[10400] LOCHNER DR ,San Jose,CA
20240507191036PD,10003373,5/7/2024 12:00:00 AM,P241280690,3,5/7/2024 12:00:00 AM,5/7/2024 12:00:00 AM,17:45:18,422,CRIMINAL THREATS,G,Gone on Arrival/unable to locate,[700]-[800] STORY RD ,San Jose,CA
20240515131826PD,10013258,5/15/2024 12:00:00 AM,P241360517,6,5/15/2024 12:00:00 AM,5/15/2024 12:00:00 AM,13:10:09,1195,VEHICLE STOP,D,"Traffic Citation Issued, Hazardous Violation",FLINT AV & HOLDERMAN DR,San Jose,CA
20240525110246PD,10025947,5/25/2024 12:00:00 AM,P241460378,2,5/25/2024 12:00:00 AM,5/25/2024 12:00:00 AM,10:51:45,FDAID,FIRE DEPARTMENT REQUEST FOR PD,CAN,Canceled,[2500]-[2600] BERRYESSA RD ,San Jose,CA
20240101003135PS,9844660,1/1/2024 12:00:00 AM,P240010051,4,1/1/2024 12:00:00 AM,1/1/2024 12:00:00 AM,00:30:50,415M,"DISTURBANCE, MUSIC",CAN,Canceled,[700]-[800] CURTNER AV ,San Jose,CA
20240202231826PS,9884266,6/12/2024 12:00:00 AM,P240330930,2,2/2/2024 12:00:00 AM,2/2/2024 12:00:00 AM,22:25:07,FDAID,FIRE DEPARTMENT REQUEST FOR PD,GD,No Disposition,[1000]-[1100] COMMERCIAL CT ,San Jose,CA
20240709184615PD,10084690,7/9/2024 12:00:00 AM,P241910610,4,7/9/2024 12:00:00 AM,7/9/2024 12:00:00 AM,17:32:38,1062,MEET THE CITIZEN,N,No report required; dispatch record only,[2800]-[2900] STEVENS CREEK BL ,San Jose,CA
20240707162432PD,10082021,7/7/2024 12:00:00 AM,P241890612,5,7/7/2024 12:00:00 AM,7/7/2024 12:00:00 AM,15:33:22,415,DISTURBANCE,H,Courtesy Service/Citizen or agency assist,OAKLAND RD & SCHALLENBERGER RD,San Jose,CA
20240723052812PD,10102292,7/23/2024 12:00:00 AM,P242050130,6,7/23/2024 12:00:00 AM,7/23/2024 12:00:00 AM,04:12:14,1095,PEDESTRIAN STOP,N,No report required; dispatch record only,N JACKSON AV & BRUSHGLEN WY,San Jose,CA
20240128192303PS,9877857,6/12/2024 12:00:00 AM,P240280665,2,1/28/2024 12:00:00 AM,1/28/2024 12:00:00 AM,18:46:05,415UNK,"DISTURBANCE, UNKNOWN",G,Gone on Arrival/unable to locate,E SANTA CLARA ST & N 1ST ST,San Jose,CA
20241022165742PD,10219392,10/22/2024 12:00:00 AM,P242960475,3,10/22/2024 12:00:00 AM,10/22/2024 12:00:00 AM,13:33:02,594,MALICIOUS MISCHIEF,G,Gone on Arrival/unable to locate,[1800]-[1900] HILLSDALE AV ,San Jose,CA
20240726105320PD,10106419,7/26/2024 12:00:00 AM,P242080225,3,7/26/2024 12:00:00 AM,7/26/2024 12:00:00 AM,08:04:46,WELCK,WELFARE CHECK,N,No report required; dispatch record only,[800]-[900] N 17TH ST ,San Jose,CA
20240419225608PD,9981212,4/19/2024 12:00:00 AM,P241100881,4,4/19/2024 12:00:00 AM,4/19/2024 12:00:00 AM,22:26:09,415M,"DISTURBANCE, MUSIC",CAN,Canceled,[1500]-[1600] TERILYN AV ,San Jose,CA
20241101205012PD,10232526,11/1/2024 12:00:00 AM,P243060837,6,11/1/2024 12:00:00 AM,11/1/2024 12:00:00 AM,20:27:04,1095,PEDESTRIAN STOP,F,Field Interview (F.I.) Completed,PLAYA DEL REY CT & PLAYA DEL REY,San Jose,CA
20240524021243PD,10024309,5/24/2024 12:00:00 AM,P241450058,5,5/24/2024 12:00:00 AM,5/24/2024 12:00:00 AM,01:54:40,415,DISTURBANCE,N,No report required; dispatch record only,S 2ND ST & E SAN FERNANDO ST,San Jose,CA
20240827000900PD,10146749,8/27/2024 12:00:00 AM,P242400004,3,8/27/2024 12:00:00 AM,8/27/2024 12:00:00 AM,00:02:44,1033A,"ALARM, AUDIBLE",CAN,Canceled,[3800]-[3900] SEVEN TREES BL ,San Jose,CA
20240530182500PD,10032478,5/30/2024 12:00:00 AM,P241510626,3,5/30/2024 12:00:00 AM,5/30/2024 12:00:00 AM,15:58:58,20002,MISDEMEANOR HIT AND RUN,N,No report required; dispatch record only,[700]-[800] N 23RD ST ,San Jose,CA
20241020222828PD,10217353,10/20/2024 12:00:00 AM,P242940895,6,10/20/2024 12:00:00 AM,10/20/2024 12:00:00 AM,22:10:22,1195,VEHICLE STOP,N,No report required; dispatch record only,STOCKTON AV & LENZEN AV,San Jose,CA
20241028003846PD,10226407,10/28/2024 12:00:00 AM,P243020010,6,10/28/2024 12:00:00 AM,10/28/2024 12:00:00 AM,00:17:53,1195,VEHICLE STOP,N,No report required; dispatch record only,SARATOGA AV & WILLIAMS RD,San Jose,CA
20240426135250PD,9989254,4/26/2024 12:00:00 AM,P241170385,3,4/26/2024 12:00:00 AM,4/26/2024 12:00:00 AM,12:45:58,1182,"VEHICLE ACCIDENT, PROPERTY DAMAGE",N,No report required; dispatch record only,[5600]-[5700] COTTLE RD ,San Jose,CA
