CDTS,EID,START_DATE,CALL_NUMBER,PRIORITY,REPORT_DATE,OFFENSE_DATE,OFFENSE_TIME,CALLTYPE_CODE,CALL_TYPE,FINAL_DISPO_CODE,FINAL_DISPO,ADDRESS,CITY,STATE
20230430143814PD,9531447,4/30/2023 12:00:00 AM,P231200445,5,4/30/2023 12:00:00 AM,4/30/2023 12:00:00 AM,13:24:49,415,DISTURBANCE,N,No report required; dispatch record only,[300]-[400] SANTANA RW ,San Jose,CA
20230815083254PD,9669297,8/15/2023 12:00:00 AM,P232270188,2,8/15/2023 12:00:00 AM,8/15/2023 12:00:00 AM,07:25:42,WELCK,WELFARE CHECK,N,No report required; dispatch record only,S 33RD ST & E SAN ANTONIO ST,San Jose,CA
20230110184414PS,9395282,1/10/2023 12:00:00 AM,P230100855,5,1/10/2023 12:00:00 AM,1/10/2023 12:00:00 AM,17:50:32,CPM,COMMUNITY POLICING MEETING,N,No report required; dispatch record only,[900]-[1000] S 1ST ST ,San Jose,CA
20231118143832PS,9790657,11/18/2023 12:00:00 AM,P233220470,3,11/18/2023 12:00:00 AM,11/18/2023 12:00:00 AM,13:41:39,WELCK,WELFARE CHECK,N,No report required; dispatch record only,[1000]-[1100] COLEMAN RD ,San Jose,CA
20230222184215PS,9448502,2/22/2023 12:00:00 AM,P230530681,3,2/22/2023 12:00:00 AM,2/22/2023 12:00:00 AM,17:29:13,1125,TRAFFIC HAZARD,N,No report required; dispatch record only,DRY CREEK RD & MERIDIAN AV,San Jose,CA
20230502125443PD,9533640,5/2/2023 12:00:00 AM,P231220286,3,5/2/2023 12:00:00 AM,5/2/2023 12:00:00 AM,10:40:12,1181,"VEHICLE ACCIDENT, MINOR INJURIES",R,Report taken,MOORPARK AV & SAN TOMAS EX,San Jose,CA
20231130161523PS,9805549,11/30/2023 12:00:00 AM,P233340583,3,11/30/2023 12:00:00 AM,11/30/2023 12:00:00 AM,15:36:28,1033A,"ALARM, AUDIBLE",CAN,Canceled,[400]-[500] BALTIC WY ,San Jose,CA
20230910064502PD,9703012,9/10/2023 12:00:00 AM,P232530237,1,9/10/2023 12:00:00 AM,9/10/2023 12:00:00 AM,06:38:53,1033,ALARM,N,No report required; dispatch record only,[2200]-[2300] FORTUNE DR ,San Jose,CA
20230423021511PD,9522105,4/23/2023 12:00:00 AM,P231130043,1,4/23/2023 12:00:00 AM,4/23/2023 12:00:00 AM,00:45:10,245,ASSAULT WITH DEADLY WEAPON,R,Report taken,[1800]-[1900] ALLISON WY ,San Jose,CA
20230710194915PD,9623386,7/10/2023 12:00:00 AM,P231910825,2,7/10/2023 12:00:00 AM,7/10/2023 12:00:00 AM,19:33:30,1033A,"ALARM, AUDIBLE",N,No report required; dispatch record only,[1800]-[1900] DRY CREEK RD ,San Jose,CA
20230512212048PD,9546918,5/12/2023 12:00:00 AM,P231320815,3,5/12/2023 12:00:00 AM,5/12/2023 12:00:00 AM,20:58:42,SUSCIR,SUSPICIOUS CIRCUMSTANCES,N,No report required; dispatch record only,ALMADEN EX & BRANHAM LN,San Jose,CA
20230406012427PD,9500563,4/5/2023 12:00:00 AM,P230950827,1,4/5/2023 12:00:00 AM,4/5/2023 12:00:00 AM,19:52:23,23152,MISDEMEANOR DUI,A,Arrest Made,[200]-[300] S JACKSON AV ,San Jose,CA
20230224234759PS,9451315,2/24/2023 12:00:00 AM,P230550942,6,2/24/2023 12:00:00 AM,2/24/2023 12:00:00 AM,23:15:30,1195,VEHICLE STOP,N,No report required; dispatch record only,TULLY RD & MCLAUGHLIN AV,San Jose,CA
20231007132722PD,9737608,10/7/2023 12:00:00 AM,P232800455,3,10/7/2023 12:00:00 AM,10/7/2023 12:00:00 AM,13:16:13,1182,"VEHICLE ACCIDENT, PROPERTY DAMAGE",DUPNCAN,No Disposition,TRADEWINDS DR & JUDITH ST,San Jose,CA
20231016161518PD,9749258,10/16/2023 12:00:00 AM,P232890604,5,10/16/2023 12:00:00 AM,10/16/2023 12:00:00 AM,15:13:00,10851R,RECOVERED STOLEN VEHICLE,O,Supplemental report taken,[200]-[300] S 17TH ST ,San Jose,CA
20231106002503PS,9775274,11/5/2023 12:00:00 AM,P233090919,2,11/5/2023 12:00:00 AM,11/5/2023 12:00:00 AM,23:58:17,415F,"DISTURBANCE, FAMILY",N,No report required; dispatch record only,[5200]-[5300] SUNNY ORCHARD LN ,San Jose,CA
20230509162631PD,9542623,5/9/2023 12:00:00 AM,P231290518,3,5/9/2023 12:00:00 AM,5/9/2023 12:00:00 AM,13:56:24,FNDPRP,FOUND PROPERTY,R,Report taken,[300]-[400] E SAN FERNANDO ST ,San Jose,CA
20231215102235PS,9824383,12/15/2023 12:00:00 AM,P233490316,6,12/15/2023 12:00:00 AM,12/15/2023 12:00:00 AM,10:15:43,1095,PEDESTRIAN STOP,N,No report required; dispatch record only,WEIBEL WY & HAMILTON PL,San Jose,CA
20230602001032PD,9571990,6/1/2023 12:00:00 AM,P231520004,4,6/1/2023 12:00:00 AM,6/1/2023 12:00:00 AM,00:08:44,602PC,TRESPASSING,N,No report required; dispatch record only,Not a valid geographical location in CAD.,San Jose,CA
20230901192718PD,9692183,9/1/2023 12:00:00 AM,P232440829,6,9/1/2023 12:00:00 AM,9/1/2023 12:00:00 AM,19:22:20,1195,VEHICLE STOP,E,"Traffic Citation Issued, Non-Hazardous Violation",E CAPITOL EX & OCALA AV,San Jose,CA
20230208160628PS,9430773,2/8/2023 12:00:00 AM,P230390556,3,2/8/2023 12:00:00 AM,2/8/2023 12:00:00 AM,15:09:06,602PC,TRESPASSING,N,No report required; dispatch record only,[700]-[800] E GISH RD ,San Jose,CA
20230126184946PS,9415096,1/26/2023 12:00:00 AM,P230260687,3,1/26/2023 12:00:00 AM,1/26/2023 12:00:00 AM,17:45:54,10851,STOLEN VEHICLE,R,Report taken,[2600]-[2700] MADDEN AV ,San Jose,CA
20230509005216PD,9541916,5/8/2023 12:00:00 AM,P231280870,2,5/8/2023 12:00:00 AM,5/8/2023 12:00:00 AM,23:14:39,459R,BURGLARY  REPORT  (460),R,Report taken,[1200]-[1300] STORY RD ,San Jose,CA
20230614214908PD,9589788,6/14/2023 12:00:00 AM,P231650889,6,6/14/2023 12:00:00 AM,6/14/2023 12:00:00 AM,21:29:22,1195,VEHICLE STOP,N,No report required; dispatch record only,OCALA AV & LEEWARD DR,San Jose,CA
20230310094510PS,9467126,3/10/2023 12:00:00 AM,P230690184,3,3/10/2023 12:00:00 AM,3/10/2023 12:00:00 AM,08:29:43,594,MALICIOUS MISCHIEF,R,Report taken,[2000]-[2100] EVANS LN ,San Jose,CA
20230730104113PD,9648772,7/30/2023 12:00:00 AM,P232110299,4,7/30/2023 12:00:00 AM,7/30/2023 12:00:00 AM,09:08:37,415N,"DISTURBANCE, NEIGHBOR",N,No report required; dispatch record only,[1000]-[1100] ROEWILL DR ,San Jose,CA
20231009040659PD,9739725,10/9/2023 12:00:00 AM,P232820100,2,10/9/2023 12:00:00 AM,10/9/2023 12:00:00 AM,03:16:10,415,DISTURBANCE,N,No report required; dispatch record only,[2400]-[2500] BERRYESSA RD ,San Jose,CA
20230606003331PD,9578631,6/6/2023 12:00:00 AM,P231570019,2,6/6/2023 12:00:00 AM,6/6/2023 12:00:00 AM,00:25:46,1033A,"ALARM, AUDIBLE",N,No report required; dispatch record only,[400]-[400] EL PASEO DE SARATOGA ,San Jose,CA
20230418140049PD,9516468,4/18/2023 12:00:00 AM,P231080489,4,4/18/2023 12:00:00 AM,4/18/2023 12:00:00 AM,14:00:49,911UNK,UNK TYPE 911 CALL,ADV,No Disposition,E BROKAW RD & CHARCOT AV,San Jose,CA
20231205172539PS,9811782,12/5/2023 12:00:00 AM,P233390516,3,12/5/2023 12:00:00 AM,12/5/2023 12:00:00 AM,14:54:42,1066X,SUSPICIOUS FEMALE,CAN,Canceled,[200]-[300] BASSETT ST ,San Jose,CA
20230803165423PD,9654461,8/3/2023 12:00:00 AM,P232150612,2,8/3/2023 12:00:00 AM,8/3/2023 12:00:00 AM,16:19:36,415,DISTURBANCE,N,No report required; dispatch record only,TULLY RD & MCLAUGHLIN AV,San Jose,CA
20231023203544PD,9758303,10/23/2023 12:00:00 AM,P232960580,2,10/23/2023 12:00:00 AM,10/23/2023 12:00:00 AM,14:50:30,415,DISTURBANCE,N,No report required; dispatch record only,[200]-[300] N JACKSON AV ,San Jose,CA
20230619124553PD,9595752,6/19/2023 12:00:00 AM,P231700438,2,6/19/2023 12:00:00 AM,6/19/2023 12:00:00 AM,12:37:11,911UNK,UNK TYPE 911 CALL,CAN,Canceled,[2500]-[2600] SAMARITAN DR ,San Jose,CA
20230610203404PD,9584716,6/10/2023 12:00:00 AM,P231610775,2,6/10/2023 12:00:00 AM,6/10/2023 12:00:00 AM,20:05:00,415F,"DISTURBANCE, FAMILY",G,Gone on Arrival/unable to locate,[4100]-[4200] ELLMAR OAKS DR ,San Jose,CA
20230624010418PD,9601841,6/24/2023 12:00:00 AM,P231750032,2,6/24/2023 12:00:00 AM,6/24/2023 12:00:00 AM,00:33:05,WELCK,WELFARE CHECK,N,No report required; dispatch record only,[5400]-[5500] SEAN CL ,San Jose,CA
20230222182644PS,9448563,2/22/2023 12:00:00 AM,P230530734,2,2/22/2023 12:00:00 AM,2/22/2023 12:00:00 AM,18:09:41,WELCK,WELFARE CHECK,N,No report required; dispatch record only,ALMADEN EX & CHERRY AV,San Jose,CA
20230907000512PD,9698670,9/6/2023 12:00:00 AM,P232490972,2,9/6/2023 12:00:00 AM,9/6/2023 12:00:00 AM,23:45:22,WELCK,WELFARE CHECK,GD,No Disposition,[2200]-[2300] MCLAUGHLIN AV ,San Jose,CA
20231111120032PS,9781888,11/11/2023 12:00:00 AM,P233150345,2,11/11/2023 12:00:00 AM,11/11/2023 12:00:00 AM,11:46:07,WELCK,WELFARE CHECK,N,No report required; dispatch record only,W CAPITOL EX & VISTAPARK DR,San Jose,CA
20231112153311PS,9783261,11/12/2023 12:00:00 AM,P233160518,3,11/12/2023 12:00:00 AM,11/12/2023 12:00:00 AM,14:43:57,WELCK,WELFARE CHECK,CAN,Canceled,[1600]-[1700] CABANA DR ,San Jose,CA
20230626034043PD,9604368,6/26/2023 12:00:00 AM,P231770093,2,6/26/2023 12:00:00 AM,6/26/2023 12:00:00 AM,03:20:19,415,DISTURBANCE,N,No report required; dispatch record only,[3100]-[3200] SENTER RD ,San Jose,CA
20230724202220PD,9641398,7/25/2023 12:00:00 AM,P232050737,2,7/24/2023 12:00:00 AM,7/24/2023 12:00:00 AM,18:32:14,AID,PUBLIC SAFETY ASSISTANCE,N,No report required; dispatch record only,,San Jose,CA
20230427174004PD,9527914,4/27/2023 12:00:00 AM,P231170694,5,4/27/2023 12:00:00 AM,4/27/2023 12:00:00 AM,17:33:39,1195X,VEHICLE STOP ON FEMALE,N,No report required; dispatch record only,S KING RD & MIAMI DR,San Jose,CA
20230121224252PS,9408894,1/23/2023 12:00:00 AM,P230210799,3,1/21/2023 12:00:00 AM,1/21/2023 12:00:00 AM,21:57:30,WELCK,WELFARE CHECK,CAN,Canceled,[3900]-[4000] HOMEPARK CT ,San Jose,CA
20230125004257PS,9412857,1/25/2023 12:00:00 AM,P230250007,3,1/25/2023 12:00:00 AM,1/25/2023 12:00:00 AM,00:15:25,1033A,"ALARM, AUDIBLE",U,Unfounded event,[1300]-[1400] KOOSER RD ,San Jose,CA
20230901025005PD,9691203,9/1/2023 12:00:00 AM,P232440038,3,9/1/2023 12:00:00 AM,9/1/2023 12:00:00 AM,00:36:26,1033A,"ALARM, AUDIBLE",N,No report required; dispatch record only,[1400]-[1500] WILLOWMONT AV ,San Jose,CA
20230728154128PD,9646474,7/28/2023 12:00:00 AM,P232090525,3,7/28/2023 12:00:00 AM,7/28/2023 12:00:00 AM,15:09:11,1033A,"ALARM, AUDIBLE",NR,No Response,[0]-[100] KEYES ST ,San Jose,CA
20230614164644PD,9589408,6/14/2023 12:00:00 AM,P231650576,4,6/14/2023 12:00:00 AM,6/14/2023 12:00:00 AM,15:39:53,1062,MEET THE CITIZEN,N,No report required; dispatch record only,[1600]-[1600] SARATOGA AV ,San Jose,CA
20231019101307PD,9752719,10/19/2023 12:00:00 AM,P232920251,2,10/19/2023 12:00:00 AM,10/19/2023 12:00:00 AM,09:38:24,415F,"DISTURBANCE, FAMILY",N,No report required; dispatch record only,[1900]-[2000] PARK AV ,San Jose,CA
20231123194346PS,9797123,11/23/2023 12:00:00 AM,P233270558,5,11/23/2023 12:00:00 AM,11/23/2023 12:00:00 AM,19:39:43,22500,PARKING VIOLATION,E,"Traffic Citation Issued, Non-Hazardous Violation",CAS DR & CAPRICORN CT,San Jose,CA
20230502105505PD,9533592,5/2/2023 12:00:00 AM,P231220249,3,5/2/2023 12:00:00 AM,5/2/2023 12:00:00 AM,09:59:06,1182,"VEHICLE ACCIDENT, PROPERTY DAMAGE",N,No report required; dispatch record only,FLOYD ST & ALMADEN AV,San Jose,CA
